respondent,T1Q1: I felt sure about my answer.,T1Q2: It was easy to complete this task.,T1Q3: Is there any further information you would like to add about this task? (original),T1Q3: Is there any further information you would like to add about this task? (grouped),T2Q1: I felt sure about my answer.,T2Q2: It was easy to complete this task.,T2Q3: Is there any further information you would like to add about this task? (original),T2Q3: Is there any further information you would like to add about this task? (grouped),T3Q1: I felt sure about my answer.,T3Q2: It was easy to complete this task.,T3Q3: Is there any further information you would like to add about this task? (original),T3Q3: Is there any further information you would like to add about this task? (grouped),T4Q1: I felt sure about my answer.,T4Q2: It was easy to complete this task.,T4Q3: Is there any further information you would like to add about this task? (original),T4Q3: Is there any further information you would like to add about this task? (grouped),T5Q1: I felt sure about my answer.,T5Q2: It was easy to complete this task.,T5Q3: Is there any further information you would like to add about this task? (original),T5Q3: Is there any further information you would like to add about this task? (grouped),T6Q1: I felt sure about my answer.,T6Q2: It was easy to complete this task.,T6Q3: Is there any further information you would like to add about this task? (original),T6Q3: Is there any further information you would like to add about this task? (grouped),T7Q1: I felt sure about my answer.,T7Q2: It was easy to complete this task.,T7Q3: Is there any further information you would like to add about this task? (original),T7Q3: Is there any further information you would like to add about this task? (grouped),T8Q1: I felt sure about my answer.,T8Q2: It was easy to complete this task.,T8Q3: Is there any further information you would like to add about this task? (original),T8Q3: Is there any further information you would like to add about this task? (grouped),T9Q1: I felt sure about my answer.,T9Q2: It was easy to complete this task.,T9Q3: Is there any further information you would like to add about this task? (original),T9Q3: Is there any further information you would like to add about this task? (grouped),T10Q1: I felt sure about my answer.,T10Q2: It was easy to complete this task.,T10Q3: Is there any further information you would like to add about this task? (original),T10Q3: Is there any further information you would like to add about this task? (grouped),T11Q1: I felt sure about my answer.,T11Q2: It was easy to complete this task.,T11Q3: Is there any further information you would like to add about this task? (original),T11Q3: Is there any further information you would like to add about this task? (grouped)
3,7,7,,,7,5,,,7,6,,,7,5,,,7,7,,,6,6,,,7,5,,,4,3,,,4,4,,,7,6,,,3,3,,
4,7,7,,,7,7,,,7,7,,,3,6,"Hard to find any categories with Sport ","Hard to find any categories with Sport ",6,7,,,5,7,,,7,7,,,7,7,,,6,7,,,7,7,,,7,7,,
5,7,7,,,7,7,,,7,7,,,3,3,,,6,6,,,6,5,,,5,6,,,6,6,,,6,6,,,6,6,,,7,7,,
6,7,7,Easy to find!,Easy to find!,6,6,,,6,6,"I'd hope this section would also show me where my closest cinema is, or some type of store locator option maybe.","I'd hope this section would also show me where my closest cinema is, or some type of store locator option maybe.",7,7,,,7,7,,,7,7,,,5,5,,,1,1,"I couldn't find any specific place where it mentioned technology or laptops specifically, or at least in terms of recommendations, maybe I missed it but I felt as though I had looked properly through the options available.","I couldn't find any specific place where it mentioned technology or laptops specifically, or at least in terms of recommendations, maybe I missed it but I felt as though I had looked properly through the options available.",5,6,,,6,6,,,7,7,,
7,6,7,,,7,7,,,6,7,,,6,7,,,5,6,,,5,7,,,4,6,,,4,6,,,6,7,,,4,5,,,6,7,,
10,6,7,,,7,5,,,6,4,wasn't sure if it would be under hobbies and then it was confusing with a separate section for films and cinemas,wasn't sure if it would be under hobbies and then it was confusing with a separate section for films and cinemas,7,2,"I think this should be under entertainment rather than sports because it is a form of entertainment to watch this and bet, whereas sports in the category hobbies would be sports that you take part in for me personally","I think this should be under entertainment rather than sports because it is a form of entertainment to watch this and bet, whereas sports in the category hobbies would be sports that you take part in for me personally",7,2,"very difficult to know what category it would be under, I tried lifestyle and culture before hobbies","very difficult to know what category it would be under, I tried lifestyle and culture before hobbies",6,4,"I would have presumed it would be under a fashion category rather than clothes as that sounds more fitting for up to date clothing. ","I would have presumed it would be under a fashion category rather than clothes as that sounds more fitting for up to date clothing. ",1,3,"I wouldn't know what category of history middle ages would fall under. I guessed but I don't think it was right ","I wouldn't know what category of history middle ages would fall under. I guessed but I don't think it was right ",4,1,"This has been the hardest one so far. I don't think that should be under science at all. Similar to fashion, I think they should be under a similar heading with latest products to buy all together. Being under science indicates more learning about computers rather than purchasing one","This has been the hardest one so far. I don't think that should be under science at all. Similar to fashion, I think they should be under a similar heading with latest products to buy all together. Being under science indicates more learning about computers rather than purchasing one",7,6,,,1,4,"I don't think it would come under research but there isn't an option it would fit better. Treatments doesn't include how to avoid it and symptoms and if it does it should be named something else ","I don't think it would come under research but there isn't an option it would fit better. Treatments doesn't include how to avoid it and symptoms and if it does it should be named something else ",7,3,"looked at lifestyle first as I would have thought it would be under there more than society ","looked at lifestyle first as I would have thought it would be under there more than society "
11,7,7,,,7,7,,,5,5,,,7,6,,,5,5,,,5,5,,,7,7,,,6,5,,,5,5,,,5,5,,,7,7,,
12,6,6,"I thought about choosing ""our picks"" instead of ""popular"" because i assume many people click them and also the editing team probably puts the most popular articles in the ""our picks"" section","I thought about choosing ""our picks"" instead of ""popular"" because i assume many people click them and also the editing team probably puts the most popular articles in the ""our picks"" section",6,5,"i would expect a game show on tv to be fun and have a lot of jokes, and if i'm with my friends it will be fun to watch tv all together","i would expect a game show on tv to be fun and have a lot of jokes, and if i'm with my friends it will be fun to watch tv all together",7,7,,,7,7,,,6,6,culture could have also been a good place to look,culture could have also been a good place to look,7,7,,,7,7,,,6,5,,,7,6,zoology is a little general but i'll probably find it there,zoology is a little general but i'll probably find it there,4,4,"i am quite unsure about this one but i feel that , as an average person with no medical background, you can find anything you need in the treatments session, while i would leave the research session to a professional","i am quite unsure about this one but i feel that , as an average person with no medical background, you can find anything you need in the treatments session, while i would leave the research session to a professional",7,7,,
13,7,7,,,7,6,,,2,4,,,6,6,,,3,5,,,6,6,,,3,5,,,5,4,,,4,5,,,5,6,,,6,6,,
14,6,5,,,7,7,,,7,7,,,4,4,,,7,7,,,7,7,,,6,6,,,5,5,,,6,6,,,5,5,,,7,7,,
15,6,7,,,5,5,,,6,6,,,7,7,,,5,6,,,4,5,,,4,4,,,6,5,,,5,6,,,4,5,,,7,7,,
16,5,6,,,7,7,,,6,5,,,3,4,,,6,6,,,5,5,,,5,5,,,3,5,,,6,6,,,4,5,,,7,6,,
17,6,7,,,7,7,,,7,7,,,7,7,,,7,7,,,7,7,,,5,7,,,7,7,,,5,7,,,5,7,,,7,7,,
18,6,6,No,No,6,6,,,3,3,,,7,6,,,6,4,,,6,6,,,5,5,,,6,5,,,6,3,,,5,5,,,5,6,,
19,7,7,This was straightforward to navigate,This was straightforward to navigate,4,5,"I'm not sure if I found the correct section or not, I wasn't sure if culture or trending would be a better fit","I'm not sure if I found the correct section or not, I wasn't sure if culture or trending would be a better fit",6,6,"There were a few options, but this seemed the most appropriate","There were a few options, but this seemed the most appropriate",5,5,This did take abit of searching.  I think this is an instance where I would be using a search input,This did take abit of searching.  I think this is an instance where I would be using a search input,5,4,I felt this would have been easier to find in the Lifestyle section,I felt this would have been easier to find in the Lifestyle section,6,5,I thought this might have been in the Trending section initially,I thought this might have been in the Trending section initially,6,5,"There were a few options initially, but this felt the closest","There were a few options initially, but this felt the closest",2,1,There wasn't one clear section to look in for the reviews.  This was not straightforward,There wasn't one clear section to look in for the reviews.  This was not straightforward,5,4,"It was hard to work out which section to look at in the very first instance, I wouldn't necessarily associate it with science","It was hard to work out which section to look at in the very first instance, I wouldn't necessarily associate it with science",6,5,I did wonder if it would be covered by future trends in health as well,I did wonder if it would be covered by future trends in health as well,6,6,"I was able to find this quite quickly, although at this point I've become more familiar with the menu","I was able to find this quite quickly, although at this point I've become more familiar with the menu"
20,6,6,no problems,no problems,6,6,,,6,6,,,6,6,,,6,5,,,5,5,could have been different as lots of choices,could have been different as lots of choices,6,6,,,6,4,"science, not the most place to look","science, not the most place to look",6,6,,,5,4,this could have been under different headings,this could have been under different headings,6,5,,
21,4,4,,,7,7,,,7,6,,,6,3,,,7,2,,,7,5,,,4,4,,,1,1,,,7,6,,,7,5,,,7,3,,
22,7,7,"No, it was a simple task","No, it was a simple task",7,7,,,7,7,,,7,6,,,7,5,I felt that hobbies wasn't the correct place for this category,I felt that hobbies wasn't the correct place for this category,6,6,,,7,7,,,2,2,I couldn't find a correct category to pick for what I was looking for.,I couldn't find a correct category to pick for what I was looking for.,7,5,,,5,7,"I am not 100% sure on my answer, but I presume it is correct","I am not 100% sure on my answer, but I presume it is correct",4,3,Didn't feel like there was a correct option for this task,Didn't feel like there was a correct option for this task
23,7,7,,,7,7,,,7,7,,,5,5,,,6,7,,,6,6,,,5,6,,,5,2,,,5,4,,,3,4,,,7,6,,
24,7,7,,,6,5,,,7,6,,,3,4,,,7,7,,,6,7,,,6,5,,,5,3,,,6,6,,,5,5,,,7,4,,
25,7,7,,,7,5,,,7,5,Erroneously clicked on 'Entertainment' first as it was higher than 'Cinema'.,Erroneously clicked on 'Entertainment' first as it was higher than 'Cinema'.,7,2,,,7,5,Selected 'Lifestyle' as Food is under this category in The Guardian,Selected 'Lifestyle' as Food is under this category in The Guardian,5,4,,,7,6,,,4,2,,,7,3,,,6,5,,,7,3,,
26,5,5,no,No,6,5,,,5,4,,,5,4,,,4,4,na,na,2,3,,,4,6,,,2,3,,,3,4,no,no,6,5,,,4,4,,
27,7,7,,,7,5,,,7,7,,,7,3,,,7,7,,,7,6,,,6,6,,,6,7,,,7,7,,,5,4,,,2,1,,
28,6,6,,,6,6,,,5,5,,,6,6,,,6,6,,,6,6,,,6,6,,,6,5,,,5,5,,,4,5,,,6,6,,
29,7,7,,,7,7,,,7,2,,,7,2,,,6,3,,,7,3,,,7,3,,,6,4,,,7,4,,,5,3,,,7,3,,
30,4,5,instructions seemed easy to follow,instructions seemed easy to follow,4,5,,,3,4,,,3,2,,,3,3,,,5,5,,,3,4,,,4,3,more tricky to find relevant section,more tricky to find relevant section,2,2,,,3,3,,,2,1,,
31,7,7,none,none,6,7,There were a few sections in the film topic which might have been the orrect selection such as trailers,There were a few sections in the film topic which might have been the orrect selection such as trailers,7,7,,,7,5,It took a few tries to find a section on boxing,It took a few tries to find a section on boxing,7,7,,,7,7,"As I learn where the different sections are, the task is becoming easier","As I learn where the different sections are, the task is becoming easier",7,7,,,5,5,Again it was tricky to find the right section.  I selected the section on computers but it may have required the section on gadgets,Again it was tricky to find the right section.  I selected the section on computers but it may have required the section on gadgets,7,7,,,6,7,,,7,7,,
32,6,6,,,7,7,,,7,7,,,4,4,,,5,5,,,7,6,,,7,7,,,3,3,,,6,6,,,7,7,,,7,6,,
33,6,7,,,6,6,,,6,6,,,5,4,,,5,6,,,6,6,,,6,5,,,6,5,,,6,7,,,5,4,,,6,6,,
34,5,5,,,3,4,,,6,5,,,4,3,,,4,3,,,3,2,,,3,3,,,1,2,,,3,4,,,5,3,,,2,2,,